rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate
-283.20755356521744,85.78260869565217,485,2048,1,4,,,,,,,,,,
-261.94003874468086,86.36170212765957,382,4096,2,10,1404.365478515625,0.0022800564765930176,-0.008318271150346845,10,0.2,3585.7678611755373,0.0063920487,0.03349609375,-1.382440386340022,0.0003
-253.20558419999995,87.02857142857142,369,6144,3,16,1243.7978515625,-0.0013507604598999023,-0.006722980391350575,20,0.2,2406.1064937591555,0.0073391413,0.029443359375,-1.3778374701738358,0.0003
-249.07286087234044,86.40425531914893,368,8192,4,22,842.9790649414062,-0.008276581764221191,-0.004839796910528093,30,0.2,2211.2860118865965,0.009777602,0.016748046875,-1.3737795073539019,0.0003
-228.89023491,86.97,369,10240,5,27,743.6266479492188,-0.0049217939376831055,-0.00708417464629747,40,0.2,1809.5811542510987,0.0061136186,0.037255859375,-1.359969249740243,0.0003
-217.52217789,88.37,372,12288,6,33,363.8280944824219,-0.013418197631835938,-0.005346901356824673,50,0.2,911.2440538406372,0.005216958,0.0208984375,-1.3537093747407198,0.0003
-195.35740100000004,89.65,377,14336,7,37,505.1925354003906,-0.0014716386795043945,-0.00831725943571655,60,0.2,877.6111536026001,0.009362202,0.05498046875,-1.3317124251276256,0.0003
-172.95955456,89.94,380,16384,8,43,402.7216796875,-0.001227736473083496,-0.004173700243700296,70,0.2,792.5203734397888,0.0080471765,0.07080078125,-1.3087542790919542,0.0003
-167.36709921000002,90.39,384,18432,9,47,342.41827392578125,2.866983413696289e-05,-0.009870521712582559,80,0.2,434.24828972816465,0.010185594,0.116015625,-1.3153300654143094,0.0003
-159.48988924999998,91.69,387,20480,10,52,463.62750244140625,-0.009624361991882324,-0.004028503705922048,90,0.2,903.819831943512,0.0062813787,0.01826171875,-1.3221319623291492,0.0003
-145.31193266,91.24,387,22528,11,58,511.6357421875,-0.0009348392486572266,-0.011466451540763955,100,0.2,690.9233995437622,0.008933696,0.099169921875,-1.3154189180582763,0.0003
-145.95705403,93.19,383,24576,12,64,261.1691589355469,2.6345252990722656e-05,-0.007704203161119949,110,0.2,503.25142707824705,0.008729425,0.116748046875,-1.3091429460793733,0.0003
-149.54959458000002,96.49,372,26624,13,71,292.5777587890625,7.706880569458008e-05,-0.008075517060933634,120,0.2,533.9478349685669,0.009751255,0.075732421875,-1.2772454902529717,0.0003
-140.10886120000004,97.24,366,28672,14,78,332.3726501464844,-4.4345855712890625e-05,-0.003882325580343604,130,0.2,516.869310760498,0.009238363,0.060888671875,-1.2520650271326303,0.0003
-134.89711756,102.04,360,30720,15,85,134.51345825195312,-0.014330267906188965,-0.00717078547750134,140,0.2,421.98937463760376,0.009175523,0.09990234375,-1.2158656124025584,0.0003
-140.99949901,105.71,355,32768,16,92,116.08316802978516,5.239248275756836e-05,-0.00432446151971817,150,0.2,349.9424373626709,0.010251351,0.039794921875,-1.2319390323013066,0.0003
-133.12383085999997,109.95,354,34816,17,98,132.4866943359375,0.00011140108108520508,-0.005775846714095678,160,0.2,413.83056659698485,0.007839238,0.05859375,-1.1604568246752023,0.0003
-116.47285643,112.63,354,36864,18,104,247.7467803955078,0.004376828670501709,-0.0032544813904678447,170,0.2,520.0877366065979,0.0023678718,0.008349609375,-1.1501477465033532,0.0003
-104.50843506999998,117.21,356,38912,19,109,203.32003784179688,-0.001978278160095215,-0.004977346223313361,180,0.2,429.74554190635683,0.0074515343,0.0603515625,-1.1226644866168498,0.0003
-98.01501667999999,121.76,358,40960,20,114,156.54505920410156,0.012064456939697266,-0.002388972976768855,190,0.2,538.4056977748871,0.0035528606,0.002099609375,-1.092002958059311,0.0003
-96.04993885,124.75,360,43008,21,119,247.88897705078125,-0.001337885856628418,-0.003477689757710323,200,0.2,388.2095998764038,0.0034694583,0.05302734375,-1.0897667337208987,0.0003
-89.18049383000002,128.16,362,45056,22,124,245.1663360595703,-0.08595585823059082,-0.003612200687348377,210,0.2,542.6490315914155,0.0057358053,0.04150390625,-1.077264642342925,0.0003
-84.17799493000001,130.17,363,47104,23,129,189.31051635742188,-0.0001933574676513672,-0.00737940781400539,220,0.2,338.08967809677125,0.008265271,0.05185546875,-1.074723469465971,0.0003
-81.07202249,132.97,364,49152,24,134,272.3999328613281,-5.805492401123047e-05,-0.006086789310211315,230,0.2,431.5808152198791,0.009097189,0.080126953125,-1.0665287632495164,0.0003
